,Location,Scene,Text,Speaker,Season
362,A corridor at the university,,Knock yourself out.,Raj,4
363,Sheldon and Leonard’s apartment," Sheldon, Leonard, Howard and Raj are present,",Of course but it’s all Indian food. You can’t find a bagel in Mumbai to save your life. Schmear me.,Howard,1
364,The apartment," The guys are playing Wii bowling,",No you didn’t. I did.,Howard,2
365,The apartment,,Yeah. You tell him babe.,Penny,10
366,The living room," Howard and Raj are staring intently at the television, Leonard enters,",All right that’s it. Strike three.,Sheldon,2
367,The university cafeteria,,Is that why you didn’t cover our escape and let us get cut down like animals?,Sheldon,2
368,The apartment,,Oh please. Look in the mirror. You both look ten years older than I do.,Howard,10
369,The hallway," Howard knocks on Penny’s door with his bow,",This is ridiculous I’m jumping in.,Leonard,1
370,The apartment,,Why would I do that?,Sheldon,6
371,The cafeteria,,It is. If you like wandering around a big empty house with no one to love you.,Howard,4
372,Outside Penny’s door," Leonard is knocking,",That wasn’t a long hug.,Penny,2
373,A supermarket,,Can I ask you guys a question? So I’m seeing Lucy tomorrow night and I’ve never hung out with someone who broke up with me. How do you do it?,Howard,7
374,The comic book store,,No Stuart picked out those throw pillows all on his own.,Raj,8
375,A shoe shop,,When the serpent slithers to an opposing player’s piece that piece is considered poisoned and will die after two more moves. Ugh.,Sheldon,4
376,Leonard’s bedroom," Morning,",Oh right sure. I wish you could stay in LA a while longer.,Leonard,4
377,The apartment,,Shut your ass!,Howard,4
378,Penny’s apartment,,All right let’s just say we’ve warmed up.,Penny,4
379,The restaurant,,Hey uh Sheldon you want anything?,Howard,7
380,Howard and Bernadette’s apartment,,Sorry. I I just…,Howard,6
381,Penny’s apartment,,I told her to be true to herself and do what makes her happy.,Penny,9
382,The apartment,,Uh-huh.,Leonard,3
383,The Cheesecake Factory,,That’s ’cause we’re the good guys.,Howard,7
384,The university cafeteria,,Hey guys guess who I found at LAX. My baby sister Priya.,Raj,4
385,Sheldon’s office," Sheldon is writing on the whiteboard,",Oh yeah? Can you do this? ,Raj,3
386,Penny," Sheldon, Raj and Leonard stand in the apartment doorway, Romantic music plays from Penny’s apartment door,",Let me guess you have a problem with this.,Leonard,1
387,A shed on the paintball range,,Screw you. That was a beautifully written penis metaphor.,Raj,5
388,Entering the apartment building,,Hang on.  You might be from Texas but I’m from New Jersey.,Leonard,5
389,The apartment,,Bye.,Sheldon,10
390,The apartment,,I’m back down to nine friends. Make it eight I’m sick of Wolowitz too.,Sheldon,7
391,The apartment,,What is Pink Cheeks?,Leonard,10
392,The university cafeteria,,Alright this goes without saying but I’m just going to say it anyway. Hands off my sister.,Raj,4
393,Sheldon and Leonard’s apartment,,It’s Darth Vader shampoo.  Luke Skywalker’s the conditioner.,Leonard,1
394,Howard’s bedroom,,Okay just to be clear roller skating was my idea and I’m very unhappy that you turned it into a double date and I hope you both fall on your asses and break your coccyxes.,Howard,3
395,The stairwell,,Yes?  Did you forget your key?,Sheldon,2
396,The apartment,,Fine.,Sheldon,10
397,The Cheesecake Factory,,Well…,Leonard,5
398,The stairwell,,That was really intense.,Leonard,8
399,Penny’s apartment," Penny is on the phone,",What’s up? I’ll tell you what’s up. I’m in a crisis situation and I need you to marshal your powers of concentration limited as they may be…,Sheldon,2
400,Leonard’s car,,Hey so what was Adam West like on the phone?,Raj,9
401,The apartment kitchen,,Way ahead of you that’s an “I Can’t Believe It’s Not Butter” stick.,Sheldon,2
402,The apartment,,Sheldon it’s not that bad.,Leonard,2
403,Howard and Bernadette’s apartment,,,Howard,6
404,The apartment,,You mean so it doesn’t hit the fan?,Howard,2
405,The telescope room,,Yep I’m on it. Hey look at that an Indian guy outsourcing a computer job to a white fella.,Sheldon,9
406,The cabin,,I’ve never played that before.,Leonard,9
407,The apartment,,Our pleasure.,Leonard,10
408,Penny’s apartment,,It’s a snowflake. From the North Pole.,Leonard,3
409,Sheldon and Leonard’s apartment,,Well this is nice. We don’t have a lot of company over.,Leonard,1
410,Penny’s door,,Before I come in you should know I have gas. ,Leonard,5
411,The apartment ,,If you ask me this whole thing is a waste of our time.,Sheldon,6
412,The apartment,,Do you know what that means?,Penny,9
413,The apartment,,That’s your problem. You can’t be alone.,Sheldon,7
414,A corridor at the university,,Is that a retinal scanner?,Leonard,10
415,Penny’s apartment,,No just mail no benefits.,Penny,2
416,The apartment,,Me too.,Howard,5
417,The University Cafeteria,,Hey.,Leonard,4
418,The same," later,",I don’t know. Maybe ’cause dark doesn’t show the stains?,Raj,7
419,Howard and Bernadette’s house,,I mean come on look at you. You’re classically handsome you’ve got a swimmer’s body. Next to you I look like me.,Howard,9
420,Amy’s laboratory,,Oh no me as well. Uh please e-mail it to Sheldon at bazinga dot biz. Why dot biz? Because I just gave you the business. And also bazinga dot com was taken.,Sheldon,8
421,The apartment,,Snipe.,Leonard,1
422,Mexico,,I just got chills.,Howard,9
423,The cafeteria,,You know what I’m so tired I can’t even think straight. I’m going home. Will one of you guys give this nutbag a ride back later?,Leonard,5
424,The same," shortly after,",What? You were all going as the Hulk?,Penny,7
425,The comic book store,,She’s gonna hate the panels.,Sheldon,10
426,Moments later,,So what that’s it? You’ve stayed with Sheldon all this time because he kept you from going to federal prison?,Penny,3
427,The apartment,,I beg to disagree. “A girlfriend shall be deemed quote living with un-quote Leonard when she has stayed over for A ten consecutive nights or B more than nine nights in three week period or C all the weekends of a given month plus three weeknights.,Sheldon,2
428,The apartment,,Mm-hmm.,Sheldon,6
429,Howard’s bedroom,,Tell her it doesn’t matter. Tell her her eyes shimmer like opalescent lilies in the lake of the palace of the celestial maidens.,Howard,5
430,The apartment,,We should get to work.,Sheldon,2
431,The university cafeteria,,When I’ve seen two consecutive negative throat cultures spaced 12 hours apart. You know the drill. All right if you’ll excuse me I am off to start a prophylactic course of antibiotics.,Sheldon,3
432,The laundry room,,Now that will not be in this week’s e-mail blast.,Sheldon,5
433,The apartment,,Do whatever you want.,Leonard,2
434,Penny’s apartment,,What? I don’t know. It doesn’t matter.,Penny,4
435,A washroom at the university,,Okay. I’ll leave. But just know every time I come in here I’ll be thinking of you.,Raj,10
436,The parking spot," Sheldon has set up his office in it,",Morning Professor Stevens. Don’t look at that whiteboard. That’s my math not your math. Keep walking nosey.,Sheldon,6
437,The apartment,,Oh they only have Thursday and Sunday passes left.,Howard,7
438,The restaurant,,Ugh let’s get this over with.,Howard,7
439,The apartment,,Oh there it is tacos.,Sheldon,5
440,The apartment kitchen,,Oh I’m gonna miss you.  See you later.,Penny,2
441,Penny’s apartment," Penny is on the phone,",All right now before you enter my bedroom unescorted I need you to understand that this onetime grant of access does not create a permanent easement. Easement. It’s a legal right,Sheldon,2
442,The park,,Let it fly.,Leonard,10
443,The stairwell,,Night. Attaboy Hofstadter. Nothing gets the ladies hotter than software development analogies. Hey I’m back.,Leonard,5
444,The apartment,,Yeah buddy?,Leonard,2
445,The apartment,,I sense that you’re trying to slow-walk me to an epiphany. Would you mind very much jumping to it?,Sheldon,4
446,The apartment,,I believe that you’re capable of great change. Like when I finally got you to stop saying Valentimes Day.,Sheldon,5
447,Leonard and Lesley’s lab,,I’ve got some feelers out. In the meantime listen to this.,Howard,1
448,The living room," Howard and Raj are staring intently at the television, Leonard enters,",I trusted you with my email address and you betrayed that trust by sending me Internet banality strike one. Touching my food strike two.,Sheldon,2
449,Leonard’s bedroom,,Well it creeps me out.,Penny,3
450,The apartment,,I was kind of hoping you would.,Penny,9
451,Howard and Bernadette’s nursery,,It’s nice to think that you grew up in this room and now your daughter’s going to as well.,Raj,10
452,The apartment,, Yes.,Sheldon,3
453,Outside Todd Zarnecki’s house,,I am Sheldor of Azeroth. I want my things back.,Sheldon,4
454,Sheldon’s office,,I’d love to help you out but unfortunately  I’m using it.,Sheldon,6
455,Penny’s apartment,,I said the truth. You don’t want to live with Leonard and you know it.,Sheldon,6
456,The stairwell,,You mean are you talking gaming marathon?,Leonard,5
457,Penny’s apartment,,So one of my favourite video games of all time is called Shadow of the Colossus and it was only for PlayStation 2 but then they came out with a new version for PS3 with better graphics. I finally got the chance to play it and for some reason it just wasn’t as good as the first one. Or something about yoga.,Leonard,8
458,Penny’s apartment,,That I have coitus with her.,Sheldon,9
459,The same," later,",So Sheldon have you talked to Amy?,Penny,10
460,The fort,,That’s a big step.,Sheldon,8
461,The apartment,,Hello.,Sheldon,9
462,The apartment,,Oh uh from the context we think it means kill me now.,Leonard,4
463,On the train,,The key is hidden in my room.,Sheldon,2
464,Howard and Bernadette’s kitchen,,No I was just thinking about Jurassic World. Boy that was terrible.,Raj,9
465,The apartment,,Leonard a moment.,Sheldon,2
466,Raj’s apartment,,That’s how much we’re gonna melt people’s faces off.,Raj,9
467,The apartment,,Whoa whoa whoa. Why don’t you just admit you don’t want to be on a team with me.,Penny,7
468,Raj’s Apartment," Leonard knocks on the door,",I forbid it.,Raj,4
469,The apartment,,Oh good you’re home. I need you to do me a favour.,Sheldon,3
470,The living room," Sheldon brings Leonard a cup of tea,",Good. There there was really all I had.,Sheldon,1
471,Sheldon’s bedroom,,Good. I’m glad.,Penny,3
472,A University corridor,,Uh yeah last night. He kept making me drop pencils for him. I got uncomfortable.  che-ee-ee-ese.,Raj,6
473,The apartment,,Here you go. I’ve got everything we’ll need for the big game. Low fat turkey jerky low-carb beer 100-calorie snack packs.,Raj,5
474,The apartment,,Sheldon did you draft the contract?,Penny,9
475,A hospital waiting room,,Okay. Oh how about this? Stuart’s dressed like a brother of the Night’s Watch and they don’t have sex.,Raj,9
476,Leonard’s car,,It’s what we think caused your narcissistic personality disorder. We discussed it at length during our last video chat. Although how we got onto the subject of you is baffling.,Sheldon,3
477,The apartment," Penny and Sheldon are doing yoga,",Oh hey.,Leonard,7
478,The same,,What did I do?,Sheldon,2
479,Human Resources department,,But I came to file a complaint. Somebody has made me feel uncomfortable in the workplace by using language of an inappropriate and sexual nature.,Sheldon,6
480,The stairwell,,Oh you caught that did you?,Sheldon,6
481,The apartment,,Arthur?,Sheldon,7
482,A furniture store,,Really? This one?,Penny,7
483,The apartment," Sheldon is working on his laptop, Spock is looking at him judgementally, He switches the two toys,",Oh nice job man-hands.,Sheldon,5
484,Penny’s apartment,,I think the message is check out the rack on that scientist.,Penny,8
485,The Apartment,,Answering the question once and for all why Wolowitz bailed out of medical school.,Raj,2
486,Penny’s apartment,,I did.,Leonard,4
487,Sheldon’s bedroom,,You’re not helping.,Leonard,3
488,The restaurant,,Don’t be silly. Just tell him.,Raj,6
489,The apartment,,,Howard,2
490,The apartment,,I can’t wait to ask Stan Lee why he insists on giving all his characters first and last names that start with the same letter.,Howard,3
